Wavelength (nm),Absorbance
588.0,0.573
589.0,0.572
590.0,0.572
591.0,0.571
592.0,0.571
593.0,0.570
594.0,0.569
595.0,0.569
596.0,0.568
597.0,0.568
598.0,0.567
599.0,0.567
600.0,0.566
601.0,0.566
602.0,0.565
603.0,0.565
604.0,0.564
605.0,0.564
606.0,0.564
607.0,0.563
608.0,0.563
609.0,0.562
610.0,0.562
611.0,0.561
612.0,0.561
613.0,0.560
614.0,0.560
615.0,0.559
616.0,0.558
617.0,0.558
618.0,0.557
619.0,0.557
620.0,0.556
621.0,0.556
622.0,0.555
623.0,0.555
624.0,0.554
625.0,0.554
626.0,0.554
627.0,0.553
628.0,0.553
629.0,0.552
630.0,0.551
631.0,0.551
632.0,0.550
633.0,0.550
634.0,0.550
635.0,0.549
636.0,0.549
637.0,0.548
638.0,0.548
639.0,0.547
640.0,0.547
641.0,0.546
642.0,0.546
643.0,0.545
644.0,0.545
645.0,0.544
646.0,0.544
647.0,0.544
648.0,0.543
649.0,0.543
650.0,0.542
651.0,0.542
652.0,0.542
653.0,0.541
654.0,0.541
655.0,0.540
656.0,0.540
657.0,0.539
658.0,0.539
659.0,0.538
660.0,0.538
661.0,0.537
662.0,0.537
663.0,0.536
664.0,0.536
665.0,0.535
666.0,0.535
667.0,0.534
668.0,0.534
669.0,0.533
670.0,0.533
671.0,0.532
672.0,0.532
673.0,0.531
674.0,0.531
675.0,0.531
676.0,0.530
677.0,0.530
678.0,0.529
679.0,0.529
680.0,0.528
681.0,0.528
682.0,0.528
683.0,0.527
684.0,0.527
685.0,0.526
686.0,0.526
687.0,0.526
688.0,0.525
689.0,0.525
690.0,0.525
691.0,0.524
692.0,0.524
693.0,0.523
694.0,0.523
695.0,0.523
696.0,0.522
697.0,0.522
698.0,0.522
699.0,0.521
700.0,0.521
701.0,0.521
702.0,0.520
703.0,0.520
704.0,0.519
705.0,0.519
706.0,0.519
707.0,0.518
708.0,0.518
709.0,0.517
710.0,0.517
711.0,0.516
712.0,0.516
713.0,0.515
714.0,0.515
715.0,0.514
716.0,0.514
717.0,0.514
718.0,0.513
719.0,0.513
720.0,0.512
721.0,0.512
722.0,0.512
723.0,0.511
724.0,0.511
725.0,0.511
726.0,0.510
727.0,0.510
728.0,0.509
729.0,0.509
730.0,0.509
731.0,0.508
732.0,0.508
733.0,0.507
734.0,0.507
735.0,0.507
736.0,0.506
737.0,0.506
738.0,0.505
739.0,0.505
740.0,0.504
741.0,0.504
742.0,0.503
743.0,0.503
744.0,0.503
745.0,0.502
746.0,0.502
747.0,0.501
748.0,0.501
749.0,0.501
750.0,0.500
751.0,0.500
752.0,0.499
753.0,0.499
754.0,0.498
755.0,0.498
756.0,0.498
757.0,0.497
758.0,0.497
759.0,0.497
760.0,0.496
761.0,0.495
762.0,0.495
763.0,0.494
764.0,0.494
765.0,0.494
766.0,0.493
767.0,0.493
768.0,0.493
769.0,0.492
770.0,0.492
771.0,0.491
772.0,0.491
773.0,0.490
774.0,0.490
775.0,0.490
776.0,0.489
777.0,0.489
778.0,0.488
779.0,0.488
780.0,0.487
781.0,0.487
782.0,0.487
783.0,0.486
784.0,0.486
785.0,0.486
786.0,0.485
787.0,0.485
788.0,0.484
789.0,0.484
790.0,0.484
791.0,0.483
792.0,0.483
793.0,0.483
794.0,0.482
795.0,0.482
796.0,0.481
797.0,0.481
798.0,0.480
799.0,0.480
800.0,0.480
801.0,0.480
802.0,0.479
803.0,0.479
804.0,0.478
805.0,0.478
806.0,0.478
807.0,0.477
808.0,0.477
809.0,0.476
810.0,0.476
811.0,0.476
812.0,0.475
813.0,0.475
814.0,0.475
815.0,0.474
816.0,0.474
817.0,0.473
818.0,0.473
819.0,0.473
820.0,0.472
821.0,0.472
822.0,0.472
823.0,0.471
824.0,0.471
825.0,0.471
826.0,0.470
827.0,0.470
828.0,0.469
829.0,0.469
830.0,0.469
831.0,0.468
832.0,0.468
833.0,0.468
834.0,0.468
835.0,0.467
836.0,0.467
837.0,0.466
838.0,0.466
839.0,0.466
840.0,0.465
841.0,0.465
842.0,0.464
843.0,0.464
844.0,0.464
845.0,0.463
846.0,0.463
847.0,0.463
848.0,0.462
849.0,0.462
850.0,0.462
851.0,0.461
852.0,0.461
853.0,0.460
854.0,0.460
855.0,0.459
856.0,0.459
857.0,0.459
858.0,0.458
859.0,0.458
860.0,0.458
861.0,0.457
862.0,0.457
863.0,0.457
864.0,0.456
865.0,0.456
866.0,0.456
867.0,0.455
868.0,0.455
869.0,0.455
870.0,0.454
871.0,0.454
872.0,0.453
873.0,0.453
874.0,0.453
875.0,0.452
876.0,0.452
877.0,0.452
878.0,0.451
879.0,0.451
880.0,0.451
881.0,0.451
882.0,0.450
883.0,0.450
884.0,0.449
885.0,0.449
886.0,0.449
887.0,0.448
888.0,0.448
889.0,0.448
890.0,0.447
891.0,0.447
892.0,0.447
893.0,0.447
894.0,0.446
895.0,0.446
896.0,0.446
897.0,0.445
898.0,0.445
899.0,0.445
900.0,0.444
901.0,0.444
902.0,0.444
903.0,0.443
904.0,0.443
905.0,0.443
906.0,0.442
907.0,0.442
908.0,0.442
909.0,0.441
910.0,0.441
911.0,0.441
912.0,0.441
913.0,0.440
914.0,0.440
915.0,0.440
916.0,0.439
917.0,0.439
918.0,0.439
919.0,0.439
920.0,0.439
921.0,0.438
922.0,0.438
923.0,0.438
924.0,0.438
925.0,0.438
926.0,0.438
927.0,0.438
928.0,0.438
929.0,0.437
930.0,0.437
931.0,0.437
932.0,0.437
933.0,0.437
934.0,0.437
935.0,0.437
936.0,0.437
937.0,0.437
938.0,0.437
939.0,0.436
940.0,0.436
941.0,0.436
942.0,0.436
943.0,0.436
944.0,0.436
945.0,0.436
946.0,0.436
947.0,0.436
948.0,0.436
949.0,0.436
950.0,0.436
951.0,0.436
952.0,0.437
953.0,0.437
954.0,0.437
955.0,0.438
956.0,0.438
957.0,0.438
958.0,0.438
959.0,0.438
960.0,0.438
961.0,0.438
962.0,0.438
963.0,0.438
964.0,0.437
965.0,0.437
966.0,0.436
967.0,0.436
968.0,0.435
969.0,0.435
970.0,0.434
971.0,0.433
972.0,0.433
973.0,0.432
974.0,0.432
975.0,0.431
976.0,0.430
977.0,0.429
978.0,0.429
979.0,0.428
980.0,0.427
981.0,0.427
982.0,0.426
983.0,0.425
984.0,0.424
985.0,0.424
986.0,0.423
987.0,0.422
988.0,0.422
989.0,0.421
990.0,0.420
991.0,0.419
992.0,0.419
993.0,0.418
994.0,0.417
995.0,0.416
996.0,0.416
997.0,0.415
998.0,0.414
999.0,0.414
1000.0,0.413
1001.0,0.413
1002.0,0.412
1003.0,0.411
1004.0,0.411
1005.0,0.410
1006.0,0.410
1007.0,0.409
1008.0,0.409
1009.0,0.408
1010.0,0.408
1011.0,0.407
1012.0,0.407
1013.0,0.406
1014.0,0.406
1015.0,0.405
1016.0,0.405
1017.0,0.405
1018.0,0.404
1019.0,0.404
1020.0,0.404
1021.0,0.403
1022.0,0.403
1023.0,0.402
1024.0,0.402
1025.0,0.402
1026.0,0.401
1027.0,0.401
1028.0,0.401
1029.0,0.400
1030.0,0.400
1031.0,0.400
1032.0,0.399
1033.0,0.399
1034.0,0.399
1035.0,0.399
1036.0,0.398
1037.0,0.398
1038.0,0.398
1039.0,0.397
1040.0,0.397
1041.0,0.397
1042.0,0.396
1043.0,0.396
1044.0,0.396
1045.0,0.396
1046.0,0.395
